company,slogan
"Hunt's, tomato sauces, ketchups and other tomato products",Better tomatoes make better ketchup. Pick Hunt's.
"Hunt's, tomato sauces, ketchups and other tomato products",The tastiest toy in the world
Idun Salad Dressing,Idun. Just squeeze it
Heinz Salad Cream,Any food tastes supreme with Heinz Salad Cream
"Wattie's, ketchup, New Zealand",It must be Wattie's.
"Kraft, salad dressing range",Kraft. Bite into Summer
"Castelo, salad dressing range",You'll only think about salad.
Nestle Aero chocolate bar,Feel the bubbles.
Nestle Aero chocolate bar,Set your bubbles free.
Nestle Aero chocolate bar,Get your bubble on.
Nestle Aero chocolate bar,Have you felt the bubbles melt?
Dove Desire chocolate bar,Have everything you.
Hershey's chocolate bar,One of the all-time greats.
Hershey's chocolate bar,Hershey's. The great American chocolate bar.
Panda cheese,Never say no to Panda.
Sargento cheese,Sargento. We're real cheese people.
Sargento cheese,Taste the real difference.
Sargento cheese,Just say cheese.
Sargento cheese,Persnickety people. Exceptional cheese.
Sargento cheese,Our family's passion is cheese.
Sargento cheese,The persnickety cheese people.
Sargento Tastings cheese,Perfectly paired with everyday.
Mini Babybel snacking cheese,Mini Babybel. It's kids' stuff.
Mini Babybel snacking cheese,100% natural. 100% fun!
Mini Babybel snacking cheese,Snack a little bigger.
Mini Babybel snacking cheese,"Real cheese, only smaller."
Cathedral City cheeses,Cathedral City. The nation's favourite.
Cathedral City cheeses,You see it. You want it.
"Kerrygold, Irish butter",From a land of better butter.
"Kerrygold, Irish butter",The best tasting butter in the world.
"Kerrygold, Irish butter",Kerrygold. It's all pure butter.
"Kerrygold, Irish butter",One of life's pure pleasures.
Kerrygold Softer butter,Spread the word.
Kerry LowLow butter spread,The tasty spread for a healthy lifestyle.
Kerrymaid dairy spreads,Discover the true taste of Kerry.
Kerrymaid dairy spreads,It's all in the taste.
Dairygold butter spreads in Ireland,Butter it with Dairygold.
Dairygold butter spreads in Ireland,The taste of dairy goodness.
Dairygold Lighter,Great taste lower in fat.
Dairygold Lighter,For the lighter side of you.
"Dromona, butter and buttery spreads",Home is where the Dromona is.
Connacht Gold low fat butter,Connacht Gold. Real butter. Half the fat.
Parkay margarine,Parkay. The flavor says butter.
Parkay margarine,Now the flavor says butter even better.
Parkay spreads,Made with nonfat real milk.
"Logicol, cholesterol lowering spread in Australia",Life is calling.
"Golden Mountain, soy sauce, Thailand",Golden Mountain. Helps give taste to food.
"Colman's, world-famous mustard brand","C'mon Colman's, light my fire"
"A1, bottled steak sauce brand","A1. Yeah, it's that important."
"Calve brand, sauces",Calve. For the lover.
Heinz Tomato Ketchup,You can't eat without it
Heinz Tomato Ketchup,A good meal out deserves a great ketchup. Insist on Heinz
Heinz Kick'rs ketchup,Caution: ketchup has kick
"Homepride brand, sauces",Homepride. Everyday Family Favourites
"Lea & Perrins, Worcestershire sauce",Lea & Perrins. The burger booster
"Lea & Perrins, Worcestershire sauce",How did you discover it?
"Lea & Perrins, Worcestershire sauce",Steak sauce only a cow could hate.
"Lea & Perrins, Worcestershire sauce",The Worcester Saucerer.
"Muir Glen brand, tomatoes, pasta and tomato sauces, ketchup",Muir Glen… tomatoes true to nature.
Ragu Robusto pasta sauce brand,Ragu Robusto. Eat Life Up.
Wish-Bone Salad Dressing brand,Wish-Bone. The salad lover's salad dressing.
Frank's RedHot Cayenne Pepper Sauce,Frank's RedHot. A thrill a bite.
HP brown sauce,HP. The sauce of weekend pleasure.
"Leerdammer, Dutch cheese",Leerdammer. Put pleasure first.
"Leerdammer, Dutch cheese","Try Leerdammer, love Leerdammer."
"Leerdammer, Dutch cheese",Not as mild as you might think.
Philadelphia cream cheese,Only Philadelphia.
Philadelphia cream cheese,"Love life, it's delicious."
Kraft Philadelphia cream cheese,Spread a little Philly.
Kraft Philadelphia cream cheese,A little taste of heaven.
Kraft Philadelphia cream cheese,Butter your bread with Philly Light instead.
Philadelphia Spreadable cream cheese,Philly Spreadable. Heavenly.
"The Laughing Cow, spreadable cheese wedges",The Laughing Cow. Reinvent snacking.
"The Laughing Cow, spreadable cheese wedges",Made with laughter.
"The Laughing Cow, spreadable cheese wedges",Have you laughed today?
"The Laughing Cow Creamy Light Swiss, spreadable cheese",Live to laugh.
Athenos feta cheese,Athenos. Made the Greek way.
Athenos feta cheese,Approved by Yiayia.
Athenos feta cheese,Athenos makes the salad.
Arla Apetina feta cheese,Ever so clever cubes.
Arla Apetina feta cheese,Because feta can be so much better.
Black River cheese,Taste real cheese!
EasiSingles cheese,EasiSingles. Goodness made easy.
"Logicol, cholesterol lowering spread in Australia",Get it down & keep it down.
"Utterly Butterly, British brand of buttery spreads",Utterly smitten.
"Utterly Butterly, British brand of buttery spreads",Utterly irresistible.
"Utterly Butterly, British brand of buttery spreads",Utterly unfair.
"Utterly Butterly, British brand of buttery spreads",Utterly impolite.
"Utterly Butterly, British brand of buttery spreads",It's the taste that drives you.
Smart Balance buttery spreads,Put a little love in your heart.
"Devondale, Australian butter and butter blends",Devondale. You deserve it.
Devondale Dairy Soft butter spreads,Spreads straight from the fridge.
Mother Dairy butter,"Mother Dairy. The creamier, tastier butter."
Mother Dairy butter,Smart mum's choice.
Keller’s butter,Making good things better since 1906.
Western Star butter in Australia,Western Star. Australia's favourite.
Western Star butter in Australia,Spread the love.
Golden Crown butter compound,Golden Crown. The crowning glory of good food.
Lifetime cheese,Come join our herd!
Grandma Singletons cheese,Made grandma's way.
Tre Stelle cheese brand,Make it right with Tre Stelle!
Saputo cheese brand in Canada,Saputo. Authentic Italian cheese maker since 1954.
Loleta Cheese Factory,Cheese... The way Mother Earth intended it to be.
Chiffon margarine,"If you think it's butter, but it's not, it's Chiffon."
Ryvita crispbread range,Britton loves Ryvita.
Ryvita crispbread range,Keep the rye balance.
Ryvita crispbread range,Ryvita. Exercise those taste buds.
Wasa crispbread,Wasa. Eat it instead.
Ritz savoury cracker,Everybody loves Ritz.
Pepperidge Farm / Goldfish snack crackers,Goldfish. The Snack That Smiles Back.
Triscuit crackers,Triscuit. Crunch to your health.
"Chips Ahoy, chocolate chip cookie",Crazy with chips!
Nabisco / Oreo sandwich cookies,Oreo. Milk's favorite cookie.
"Keebler, cookies and crackers","Keebler. Uncommonly Made, Uncommonly Good."
Lu Le Petit Ecolier cookies,It's hard to resist a Lu.
Lu Le Petit Ecolier cookies,It's only for kids. Perfect!
Mr Kipling cakes,Mr Kipling. Exceedingly good cakes.
Kellogg's Pop-Tarts toaster pastries,Pop-Tarts. Crazy good.
Little Debbie snack cakes,Unwrap a smile.
Little Debbie snack cakes,Little Debbie. America's #1 snack cake.
"McVitie's Moments, chocolate coated biscuits",A moment to yourself.
"McVitie's Jaffa Cakes, chocolate covered biscuits",Jaffa Cakes. Unbelievably delicious.
Lu Pim's biscuits,I can stop when I want.
Lu Pim's biscuits,They love what's inside even more.
Jacob's sweet biscuits range,Jacob's. Some kind of wonderful.
"Paradise brand, range of biscuits and cookies",Now that's Paradise.
"Bahlsen, brand of cakes and sweet biscuits",Bahlsen. Deliciously Continental.
"Irish Pride bread, Ireland",Irish Pride. It's a matter of pride.
Nature's Own bread brand,Nature's Own. We are nature's baker.
"Brumby's bread brand, Australia",Brumby's. Baked today!
"Dempster's bread range, Canada",Dempster's. Nourish yourself.
"Bakers Delight brand, Australia, New Zealand",Bakers Delight. Your Local Baker.
Thomas’ / Hearty Grains english muffins,Heartier nooks. Healthier grannies.
Thomas’ / Squares bagelbread,Part Bagel. Part Bread. Totally delicious.
Earth Grains breads,Earth Grains. Discover a Healthier Slice of Life!
Kingsmill bread,Love bread. Love Kingsmill.
"Burgen, a range of special healthy breads",Burgen. Harnessing the Power of Nature.
Wonka Chocolate,Feed your imagination.
Galaxy Milk Chocolate,Why have cotton when you can have silk?
Galaxy Milk Chocolate,Lose yourself in a good book with Galaxy.
Galaxy Milk Chocolate,Think chocolate. Think Galaxy.
Galaxy Promises,Different every time.
Dove Chocolate,Choose pleasure.
Dove Chocolate,Dove. Silky smooth.
Dove Dark Chocolate,It's not just dark. It's Dove.
Hershey's Milk Chocolate,Hello happy. Hello Hershey's.
Hershey's Milk Chocolate,"Hershey's is mine, yours, our chocolate."
Hershey's Milk Chocolate,Pure Hershey's. Pure happiness.
"Schmitten, brand of luxury dark chocolate in India",There's always a sweeter side.
"Schmitten, brand of luxury dark chocolate in India",My Schmitten is only mine.
"Schmitten, brand of luxury dark chocolate in India",Time to get lost in Schmitten.
"Lindt, Swiss chocolate",Lindt. Chocolate beyond compare.
Lindt Excellence,100% pure passion.
Brookside Chocolate,Talk about delicious.
Nestle Chocolate,Sweet dreams you can't resist.
"Ritter Sport, brand of chocolate in Germany",Quality in a square.
After Eight Mint Chocolate,See you After Eight.
After Eight Mint Chocolate,The After Eight you can enjoy before eight.
"Toblerone, Swiss chocolate",Better than sex. It peaks 11 times.
"Toblerone, Swiss chocolate",Lose yourself in the Toblerone triangle.
"Toblerone, Swiss chocolate",Make time for Toblerone.
Cailler Chocolate from Switzerland,Pure chocolate. Pure emotion.
Ghirardelli Chocolate,Moments of timeless pleasure.
Ghirardelli Intense Dark Chocolate,Lose yourself in the dark.
Milka Chocolate,Tenderness is inside.
Milka Chocolate,Dare to be tender.
Milka Chocolate,"World-famous, because it is so good."
Cadbury Dairy Milk Chocolate,Free the joy.
Cadbury Dairy Milk Chocolate,Pure Cadburyness.
Cadbury Dairy Milk Chocolate,Your happiness loves Cadbury.
Cadbury Dairy Milk Silk,Say it with Silk.
Cadbury Bournville Dark Chocolate,The perfect way to end your day.
Cadbury Dream White Chocolate,Let the taste take you away.
"Goya Chocolate, Philippines",Enjoy life. Enjoy Goya.
Amul Chocolate,A gift for someone you love.
"Callebaut, Belgian chocolate brand",For the love of chocolate.
"Cote d'Or, Belgian chocolate",Cote d'Or. Aphrodisiac.
Green & Black's Chocolate,It deserves a little respect.
Choko la Chocolate and Chocolate Candies in India,Deeply divine chocolates.
Terry's Chocolate Orange,Round. But not round for long.
Terry's Plain Chocolate,"Rich, dark and perfectly smooth."
Zippo lighters,Zippo. The name in flame.
Zippo lighters,Use it to start something.
Zippo lighters,Zippo. For real.
"Cricket, cigarette lighters",Cricket. Always in style.
"BIC brand, cigarette lighters",Flick Your Bic!
Swan Vestas Long Matches,Smokers are requested to use Swan Vestas.
Swan Vestas Long Matches,The smoker's match.
Swan Vestas Long Matches,Use matches sparingly.
Hamlet Cigars,Happiness is a cigar called Hamlet
Ashton Cigars,Ashton. The Elements of Taste
Macanudo brand,Macanudo. An American passion.
Virginia Slims Women Cigarettes,It's a Woman's Thing
Virginia Slims Women Cigarettes,"You've Come a Long Way, Baby"
Marlboro Cigarettes,You get a lot to like with a Marlboro
Marlboro Cigarettes,Come to Marlboro Country
Marlboro Cigarettes,Come to where the flavor is
Strand Cigarettes,You're never alone with a Strand
Doral Cigarettes,Taste Me! Taste Me! Come on and Taste Me!
Winfield Cigarettes,Anyhow... Have a Winfield
Chesterfield Cigarettes,Chesterfield. Blow some my way
Camel Cigarettes,Slow down. Pleasure up.
Camel Cigarettes,It's your taste
Camel Cigarettes,Where a man belongs
Camel Cigarettes,More Doctors Smoke Camels than any other Cigarette
Camel Cigarettes,For Digestion's Sake - Smoke Camels
Camel Cigarettes,I'd walk a mile for a Camel
Carlton Cigarettes,"If you smoke, please smoke Carlton"
The American Egg Board / marketing campaign of eggs,Incredible!
The American Egg Board / marketing campaign of eggs,The incredible edible egg.
"NECC, National Egg Coordination Committee in India / advertising campaign of eggs",Have you had an Egg today?
"NECC, National Egg Coordination Committee in India / advertising campaign of eggs",An egg a day keeps the doctor away.
British Egg Marketing Board / advertising campaign of eggs,Go to work on an egg.
British Egg Marketing Board / advertising campaign of eggs,"Serve eggs, save money!"
British Egg Marketing Board / advertising campaign of eggs,Happiness is egg-shaped.
Australian Egg Farmers / marketing campaign of eggs,Unbeatable for breakfast.
Egg Farmers of Canada,Dedicated to quality.
Egg Farmers of Canada,Get cracking.
Egg Farmers of Canada,Pride in every egg.
"British Lion Quality, mark on egg shells and egg boxes in England",Lion Quality. So very British.
"British Lion Quality, mark on egg shells and egg boxes in England",The pride of Britain.
"British Lion Quality, mark on egg shells and egg boxes in England",British Lion Eggs. Fast food. And good for you.
Jimmy Dean omelets,Real hot breakfast.
IWC watches,IWC. Since 1868. And for as long as there are men.
"Ebel, Swiss watch company",Ebel. The architects of time
"TAG Heuer, luxury swiss watches",TAG Heuer. Swiss Avant-Garde since 1860
"TAG Heuer, luxury swiss watches",What are you made of?
"TAG Heuer, luxury swiss watches",Success. It's a mind game
"TAG Heuer, luxury swiss watches",Don't crack under pressure
Raymond Weil Swiss watches brand,Time to celebrate
Raymond Weil Swiss watches brand,Time to dream
Raymond Weil Swiss watches brand,Time to create
"Swatch, Swiss watch brand",Time is what you make of it
"Swatch, Swiss watch brand",Fashion that ticks
"Swatch, Swiss watch brand","You have a second home, why not a second watch?"
Omega watch brand,Omega. The sign of excellence
Omega watch brand,The link between the past and the future
Omega watch brand,Significant Moments
Centrum Multivitamins brand,Centrum. Always Complete. From A to Zinc.
Yikes! The Original Multi-Vitamin Freeze Pops for kids,Yikes! The COOLEST way to take your vitamins!
Vitaball Vitamin Gumballs,Vitaball. A Whole New Way to Take Your Vitamins.
Viactiv Calcium and Multi-Vitamin Chews,"Viactiv, the nutrition women want!"
Viactiv Calcium and Multi-Vitamin Chews,Active Nutrition for Women by Women
Viactiv Calcium and Multi-Vitamin Chews,Be sweet to your bones
"Multibionta, probiotic multivitamin brand",Multibionta puts back what life takes out
"Berocca brand, B vitamins plus other essential nutrients",Berocca. For hectic lifestyles - stay sharp.
"Berocca brand, B vitamins plus other essential nutrients",Fire on all cylinders. All day.
"Berocca brand, B vitamins plus other essential nutrients",Berocca gives you back your B-B-Bounce
"Klaire Labs brand, vitamins, minerals, nutritional supplements",Klaire Labs. Health is in the balance.
"Shaklee brand, vitamins, minerals, nutritional supplements",Shaklee. Creating Healthier Lives
"One-A-Day vitamins & minerals, brand of Bayer",The multivitamin with more for your health
"One-A-Day vitamins & minerals, brand of Bayer",A better tomorrow starts with Today
"Two Chicks, brand of liquid egg white and egg white omelette mix",Two Chicks. The whiter lighter egg.
Egg Innovations brand,Letting chickens be chickens.
Vital Farms pasture-raised eggs,The happiest hens in the world.
Vital Farms pasture-raised eggs,Our happy hens are humanely raised outdoors.
Respectful eggs,Helping live a happy life.
Respectful eggs,"Happy hens, healthy planet."
"Pure Foods Eggs, producer of eggs in Tasmania",Tasmanian fresh.
"Pure Foods Eggs, producer of eggs in Tasmania",Where the Egg comes first.
Valley Brook eggs,Naturally your best choice.
Manning Valley free range eggs,Nature's intention.
Silver Dale free range eggs in Australia,Silver Dale. As nature intended.
Sunny Queen Farms eggs,Wake up on the Sunny side.
Sunny Queen Farms eggs,Crack a Sunny Queen smile.
Davidson's Safest Choice pasteurized eggs,Made safer... Naturally.
Columbus eggs,A simple way to a healthier heart.
Columbus eggs,Healthier eggs from healthier hens.
Goldenlay eggs,Goldenlay Omega 3. Engaging hearts & minds.
Omega watch brand,The Watch The World Has Learned To Trust
Omega watch brand,Omega. The right time for life
Gevril watches,Time always has a before and an after.
Ingersoll Pocket Watches (Ingersoll produced watches between 1892 and 1944 when they were acquired by Waterbury),The Watch that Made the Dollar Famous
Ingersoll Pocket Watches (Ingersoll produced watches between 1892 and 1944 when they were acquired by Waterbury),Note:
Patek Philippe luxury watch brand,Patek Philippe. Begin your own tradition
"Breitling, Swiss chronograph watches",Breitling. Instruments for professionals
Longines watch brand,Longines. Elegance is an Attitude
Longines watch brand,Longines times winners - winners choose Longines
Longines watch brand,Ñapture the classic spirit of Longines
Carl F. Bucherer brand,For people who do not go with the times
Carl F. Bucherer brand,Carl F. Bucherer. Swiss tradition time
"Bucherer, leading retailer for watches and jewellery in Switzerland",Bucherer. For life's most beautiful moments
"One-A-Day vitamins & minerals, brand of Bayer",Just what you need to feel your best.
"Sundown brand, vitamins, minerals, specialty supplements",Sundown. Dedicated To Your Good Health
"Sundown brand, vitamins, minerals, specialty supplements",Keep your life in balance with Sundown
"Humetta, soluble vitamin tablets, Hungary",Humetta. Investment in health.
"Met-Rx Sports Nutrition brand, USA",Met-Rx. Bigger. Better. Stronger.
"Osteo Bi-Flex, dietary supplement for healthy joints",Osteo Bi-Flex. Put Some Life Back In Your Joints
Flintstones children's vitamins,"We are Flintstones kids, ten million strong and growing!"
"Caltrate, calcium tablets, Canada",It's never too early or too late for Caltrate
"Caltrate, calcium tablets, Canada",It's Never Too Late for Caltrate
"Doppelherz, Vitamin E supplement",Doppelherz. The power of the two hearts.
"Myra 300-E vitamins, Philippines",Put some E into your life with Myra 300-E.
Davitamon Junior tablets,Davitamon. It gives them something extra.
Goldenlay eggs,Crack a meal today with Goldenlay.
NestFresh eggs,NestFresh. Always 100% cage free.
Pringles potato chips,Pringles. Once you pop the fun doesn't stop.
Pringles potato chips,Once you pop you can't stop.
Lay's potato chips & crisps,Lay's. Get your smile on.
Lay's potato chips & crisps,No one can eat just one.
"Jay's brand of potato chips and other snack foods, US",Jays... can't stop eating 'em!
Tostitos crunchy chips brand,Tostitos. Share something good.
"Quavers, potato crisps",They're floaty light!
"Quavers, potato crisps",Watch out. They taste curly.
"Quavers, potato crisps",The flavour of a Quaver is never known to waver.
"Quavers, potato crisps",You get a lovely lot of Quavers in a bag.
"RE/MAX agency, residential and commercial real estate",RE/MAX. Outstanding Agents. Outstanding Results.
"REALTY EXECUTIVES International, full service real estate agency",Realty Executives International. Experience excellence
"L.J. Hooker, real estate agency with locations in Asia, New Zealand and Australia",L.J. Hooker. Nobody does it better
"GMAC Real estate, Homes and Gardens Real Estate",GMAC. Service You Deserve. People You Trust.
"Century 21, real estate corporation",Century 21. Real Estate for Your World.
"NAR - National Assocation of REALTORS, USA",NAR is The Voice for Real estate
"NAR - National Assocation of REALTORS, USA",We're REALTORS
"NAR - National Assocation of REALTORS, USA",Real Estate is our Life
"Globe Real Estate Agency, Athens, Greece",Helping you find the property of your dreams
"Hasson Company Realtors, Portland and Vancouver",The sign of Experience
"Ken Williams, Remax's real estate agent, Belleville, Trenton, and Quinte area","If you can't sell your home...""I KEN""®"
"Patricia Burroughs, real estate Broker, Belleville, Ontario",Call Pat … for your Real estate Chat
"Beverly-Hanks & Associates, real estate firm, Western North Carolina",The Best in the Business
"Tanager Realty, full service real estate sales and marketing company, Lake Tahoe",Integrity is Everything
"Tanager Realty, full service real estate sales and marketing company, Lake Tahoe",The shortest distance between paradise and the place you call home
"Prudential Carolina Real Estate, Charleston, South Carolina",Doing Things For You Only #1 Can Do!
Coldwell Banker Real Estate Corporation,Coldwell Banker. Expect the Best
Coldwell Banker Real Estate Corporation,Where dreams come home
"Country Life, British butter",It's about great butter.
"Country Life, British butter",Enjoy the taste of Country Life.
"Country Life, British butter",A taste of Country Life.
Anchor butter,Anchor. Tastes like home.
Anchor butter,Anchor. Made by cows.
Anchor butter,The free-range butter company.
Anchor butter,Tastes the way nature intended.
Anchor butter,Anchored in nature.
Anchor Spreadable,Made with 100% natural ingredients.
"Mainland, pure butter from New Zealand",Mainland. A simple pleasure.
Land O'Lakes butter,When the flavor really counts.
Land O'Lakes spread with sweet cream,Good health has a good name.
"Lurpak, Danish butter",Good food deserves Lurpak butter.
"Lurpak, Danish butter",Love food with Lurpak.
"Lurpak, Danish butter",Saturday is breakfast day.
"Lurpak, Danish butter",Good food deserves Lurpak.
"Lurpak, Danish butter",Your everyday luxury.
Coldwell Banker Real Estate Corporation,The Power Tools To Sell Your Home
"Glorie Lee & Rick Beyenhof (Tarbell Realtors), Upland, Claremont, Canada",We Care About Our Clients
"Glorie Lee & Rick Beyenhof (Tarbell Realtors), Upland, Claremont, Canada",You get TWO REALTORS for the price of one
"Edina Realty company, USA",Edina Realty. Beyond the sale
"Paul Mancuso, real estate agent, Rancho Cucamonga, Beverly Hills, USA",I'm your REALTOR. Welcome Home.
"ERA (Electronic Realty Associates) Real Estate, franchise system",Always There For You
"ERA (Electronic Realty Associates) Real Estate, franchise system","We Will Sell Your House, or ERA Will Buy It!"
"Beatrix, relocation services, Moscow, Russia",Beatrix. Quality living from the team that cares.
Dairytown butter,In the heart of the dairy country.
"President butter, France","Simple foods, refined tastes."
"President butter, France","When you love life, you love President."
Amul butter,Utterly butterly delicious.
"Amul Lite, low fat bread spread",All taste. No waist.
"Amul Lite, low fat bread spread",The lightest light.
Plugra butter,Plugra. European style butter.
Challenge Butter,Real challenge. Real difference.
Meggle butter,Meggle. I am a Gourmeggle.
Stirling Creamery butter,Better butter. Naturally.
"Almarai butter, Saudi Arabia",Almarai. The vital ingredient.
"Queensland butter, New Zealand",Perfect.
"Queensland butter, New Zealand",The grandeur that is.
Hatsun butter in India,Enjoy the rich taste of real butter.
"Ballantyne, butter and spreads in Australia",Ballantyne. Dairy innovation.
"Promise, brand of margarine and soft buttery spreads",Love your heart.
"Promise, brand of margarine and soft buttery spreads",Taking your health to heart.
"Promise, brand of margarine and soft buttery spreads",Less fat than any corn oil margarine.
Bertolli spreads with olive oil,A delicious blend with butter and olive oil.
Bertolli spreads with olive oil,Enjoy life. Enjoy Bertolli.
Bertolli spreads with olive oil,Passion makes perfect.
"Olivio, olive oil spreads",Olivio. Part of your Mediterranean diet.
Fleischmann's margarine and spreads,Fleischmann's. It does your heart good.
Fleischmann's margarine and spreads,A loved one today.
Fleischmann's margarine and spreads,Because you have an appetite for life.
Fleischmann's margarine and spreads,100% corn oil. 0% cholesterol.
"Brummel & Brown, spread with yogurt",Must be Brummel & Brown.
Kraft Golden Churn spread,You can taste the butter in Golden Churn.
"I Can't Believe It's Not Butter!, butter substitute",It's time to believe.
"I Can't Believe It's Not Butter!, butter substitute",Believe.
"I Can't Believe It's Not Butter!, butter substitute",Cheat on butter.
"I Can't Believe It's Not Butter!, butter substitute",You can have it all.
"I Can't Believe It's Not Butter!, butter substitute",Now we know better!
"I Can't Believe It's Not Butter!, butter substitute",Unbelievably buttery taste.
Becel margarine,Becel. Love your heart.
Becel margarine,For the heart you love.
Becel margarine,Becel takes your life to heart.
Imperial margarine,Imperial. Love every bite.
Imperial margarine,Fit for a king.
Imperial margarine,Only our taste deserves the crown.
Imperial margarine,Flavor so good I feel like a queen.
Imperial oil spreads,Imperial. Crowned with quality.
"King Island Dairy, cheese brand in Australia",No ordinary island. No ordinary cheese.
Coon cheese in Australia,Coon. Australia's tastiest cheese.
Coon cheese in Australia,The choice of COONoisseurs.
Bega cheese,Bega. Real town. Real cheese.
Bega cheese,Better buy Bega.
Mainland cheese,Mainland. Good things take time.
Perfect Italiano cheese brand,So simple. It's perfect.
Devondale cut cheese slices,Devondale. One thing families agree on.
Devondale cut cheese slices,Easy peel cheese slices.
Puck cream cheese,The mild taste of pure nature.
County Line cheese,County Line. Only real cheese.
Amul cheeses,Eat milk with every meal.
"Galbani, mozzarella cheese",Galbani. Italy's favorite cheese brand.
"Galbani, mozzarella cheese",Masters of Italian.
"Galbani, mozzarella cheese",The choice of Italy for cheese.
"Galbani, mozzarella cheese",Masters in the art of good cheesemaking.
Galbani Dolcelatte creamy blue cheese,"Mild, creamy, Italian blue cheese."
"Frico, brand of Dutch cheeses",Unique conditions make unique cheeses.
"Frico, brand of Dutch cheeses",Frico. Masters of Dutch cheese.
"Frico, brand of Dutch cheeses",Passion for cheese.
"Boursin, French cheese","Bread, Boursin, all is well."
"Boursin, French cheese","Bread, wine, Boursin."
"Port Salut, French cheese",The smooth taste of France.
"Le Rustique, French cheese",A great French camembert for all occasions.
Reny Picot cheese,A rich tradition of gourmet cheeses.
"Soignon, French goat cheese",French for goats cheese.
"Alpenhain, cheese and cheese products in Germany",We make the most out of cheese.
"Magnolia Gold butter, Philippines","Magnolia. Pure creaminess, pure pleasure."
Kraft Golden Churn spread,Do you yearn for a bit of Golden Churn?
"Nutralite, vegan mayonnaise and spreads",Nutralite. The healthier choice.
"Nutralite, vegan mayonnaise and spreads",Healthier than butter.
Benecol spreads,Benecol. Proven to reduce cholesterol.
"Pure, brand of dairy free spreads",Free from all the things you don't need.
Anik ghee,Anik ghee. Rich aroma. Rich taste.
YUM butter and spreads,That's sooooo Yum.
"Calvia, calcium-enriched non-dairy spread, UK",Are you getting enough?
Delight low fat butter spread,"If it's delicious and light, it's Delight."
Delight low fat butter spread,"High in taste, lower in fat."
Delight low fat butter spread,The taste of the country without the fat of the land.
Golden Olive spread,At the table no one grows old.
"Krona, brand of margarine","Krona. Tastes so good, you won't believe it."
"Krona, brand of margarine","If the crown fits, why spend more?"
Blue Band margarine,Spread every slice!
Blue Band margarine,Daily Blue Band. Daily growth.
Blue Band margarine,Fried food tastes good.
